date,510300.SH,563360.SH,512890.SH,510880.SH,511010.SH,511260.SH,518880.SH,511880.SH
2010-06-07,2695.715,2844.5492,4311.216,2067.23,109.338,97.362,,
2010-06-08,2699.336,2851.9422,4360.151,2064.285,109.311,97.351,,
2010-06-09,2782.133,2932.6034,4460.15,2120.516,109.292,97.237,,
2010-06-10,2750.023,2908.2766,4456.76,2099.425,109.175,97.111,,
2010-06-11,2758.866,2910.0927,4441.615,2109.678,109.129,97.047,,
2010-06-14,,,,,,,,
2010-06-15,,,,,,,,
2010-06-16,,,,,,,,
2010-06-17,2742.733,2888.0983,4374.277,2095.671,109.158,96.943,,
2010-06-18,2696.166,2825.235,4231.923,2070.177,109.038,96.529,,
2010-06-21,2780.663,2910.2044,4338.077,2117.438,108.715,96.338,,
2010-06-22,2783.72,2918.0481,4348.402,2120.575,108.731,96.55,,
2010-06-23,2758.495,2894.1458,4345.128,2104.609,108.689,96.438,,
2010-06-24,2757.498,2894.8303,4336.381,2101.667,108.652,96.51,,
2010-06-25,2736.287,2869.8211,4278.525,2088.879,108.651,96.506,,
2010-06-28,2716.777,2843.9179,4213.508,2079.812,108.737,96.71,,
2010-06-29,2592.019,2712.4878,4025.001,1993.122,108.865,97.081,,
2010-06-30,2563.07,2684.5084,3967.848,1969.308,108.972,97.242,,
2010-07-01,2526.071,2644.5416,3913.988,1942.972,109.031,97.24,,
2010-07-02,2534.105,2645.4336,3880.866,1950.504,109.048,97.329,,
2010-07-05,2512.651,2625.9227,3862.537,1936.181,109.072,97.311,,
2010-07-06,2562.902,2681.7049,3961.194,1972.522,109.154,97.475,,
2010-07-07,2580.477,2704.6025,3996.193,1977.33,109.217,97.596,,
2010-07-08,2575.921,2695.6164,3987.415,1970.061,109.21,97.481,,
2010-07-09,2647.104,2770.5237,4105.226,2021.851,109.201,97.499,,
2010-07-12,2676.218,2797.5643,4131.365,2052.374,109.218,97.51,,
2010-07-13,2634.593,2758.2556,4067.327,2020.437,109.288,97.623,,
2010-07-14,2653.609,2776.9206,4138.063,2037.771,109.358,97.863,,
2010-07-15,2608.519,2728.0222,4075.771,1994.983,109.519,97.873,,
2010-07-16,2616.128,2735.9639,4084.35,2002.325,109.391,97.915,,
2010-07-19,2682.472,2800.6847,4159.139,2049.634,109.389,97.928,,
2010-07-20,2741.503,2863.6691,4267.477,2092.155,109.411,97.863,,
2010-07-21,2747.335,2871.0336,4290.576,2097.058,109.39,97.785,,
2010-07-22,2781.286,2904.8148,4341.859,2117.074,109.343,97.77,,
2010-07-23,2793.076,2914.3406,4354.218,2121.215,109.306,97.665,,
2010-07-26,2811.055,2936.5825,4409.488,2131.575,109.189,97.568,,
2010-07-27,2795.724,2925.5216,4448.978,2118.386,109.157,97.397,,
2010-07-28,2863.724,2994.8519,4513.019,2168.407,109.204,97.404,,
2010-07-29,2877.976,3009.457,4498.758,2183.042,109.154,97.383,,
2010-07-30,2868.846,3000.2368,4507.235,2172.312,109.146,97.36,,
2010-08-02,2917.275,3052.2149,4602.976,2208.252,109.183,97.303,,
2010-08-03,2865.971,2998.4651,4530.469,2169.469,109.155,97.258,,
2010-08-04,2876.434,3014.6779,4565.015,2175.241,109.116,97.295,,
2010-08-05,2850.829,2999.6672,4614.305,2146.886,109.17,97.356,,
2010-08-06,2897.659,3050.9002,4698.282,2183.231,109.21,97.402,,
2010-08-09,2918.241,3076.0856,4744.95,2187.714,109.28,97.456,,
2010-08-10,2832.638,2981.9143,4591.877,2131.731,109.273,97.442,,
2010-08-11,2850.211,3002.9883,4640.335,2135.914,109.304,97.555,,
2010-08-12,2816.386,2965.9506,4589.781,2112.439,109.386,97.826,,
2010-08-13,2855.547,3009.2624,4659.947,2135.607,109.443,97.965,,
2010-08-16,2922.083,3079.187,4787.126,2182.335,109.441,97.885,,
2010-08-17,2942.291,3100.6411,4813.08,2184.996,109.421,97.808,,
2010-08-18,2937.362,3095.1828,4822.555,2175.953,109.36,97.841,,
2010-08-19,2955.395,3109.3617,4812.473,2189.023,109.362,97.825,,
2010-08-20,2898.333,3048.7989,4684.552,2156.288,109.35,97.842,,
2010-08-23,2896.192,3053.708,4710.082,2146.405,109.277,97.857,,
2010-08-24,2911.827,3073.3868,4749.921,2153.688,109.206,97.885,,
2010-08-25,2843.023,3006.9635,4664.398,2098.855,109.379,97.968,,
2010-08-26,2850.093,3017.8784,4691.38,2109.309,109.299,97.926,,
2010-08-27,2858.566,3028.5558,4727.685,2114.95,109.247,97.856,,
2010-08-30,2915.01,3091.8101,4882.169,2143.747,109.154,97.836,,
2010-08-31,2903.188,3086.8794,4896.386,2129.599,109.209,97.847,,
2010-09-01,2884.042,3062.1777,4862.493,2121.579,109.2,97.851,,
2010-09-02,2921.393,3106.194,4930.159,2141.337,109.255,97.832,,
2010-09-03,2920.205,3112.8436,4935.557,2133.733,109.211,97.822,,
2010-09-06,2975.09,3155.3373,4932.924,2174.528,109.086,97.778,,
2010-09-07,2983.108,3164.7692,4954.509,2177.381,108.954,97.683,,
2010-09-08,2980.967,3167.2055,4997.029,2170.825,109.042,97.668,,
2010-09-09,2926.46,3111.9402,4987.955,2134.561,109.01,97.659,,
2010-09-10,2932.554,3125.9129,5097.831,2135.055,108.954,97.423,,
2010-09-13,2962.319,3162.6872,5137.244,2141.41,108.89,97.309,,
2010-09-14,2965.009,3170.472,5133.237,2140.104,108.873,97.252,,
2010-09-15,2913.194,3117.9201,5106.644,2111.372,108.822,97.149,,
2010-09-16,2857.789,3055.2819,5001.234,2063.793,108.719,97.038,,
2010-09-17,2861.369,3059.885,5012.92,2062.785,108.676,96.927,,
2010-09-20,2849.828,3044.6993,4985.324,2058.552,108.708,97.025,,
2010-09-21,2857.476,3049.9017,4985.006,2063.32,108.718,96.926,,
2010-09-22,,,,,,,,
2010-09-23,,,,,,,,
2010-09-24,,,,,,,,
2010-09-27,2905.029,3105.0641,5102.064,2081.335,108.636,96.941,,
2010-09-28,2880.907,3083.5377,5097.455,2061.366,108.554,96.877,,
2010-09-29,2874.812,3068.444,5008.566,2067.332,108.565,96.897,,
2010-09-30,2935.574,3125.9609,5103.501,2100.631,108.564,96.855,,
2010-10-01,,,,,,,,
2010-10-04,,,,,,,,
2010-10-05,,,,,,,,
2010-10-06,,,,,,,,
2010-10-07,,,,,,,,
2010-10-08,3044.233,3229.333,5205.517,2168.036,108.564,97.003,,
2010-10-11,3132.895,3300.2204,5153.12,2230.671,108.353,96.515,,
2010-10-12,3172.726,3332.3069,5139.995,2250.154,108.151,96.434,,
2010-10-13,3217.577,3370.1437,5159.684,2275.284,108.191,96.425,,
2010-10-14,3224.14,3350.2613,5014.801,2298.889,108.23,96.476,,
2010-10-15,3327.683,3435.0052,5020.643,2392.98,108.204,96.441,,
2010-10-18,3306.16,3408.2149,5016.155,2389.46,108.201,96.406,,
2010-10-19,3375.674,3490.3132,5144.95,2429.136,108.202,96.477,,
2010-10-20,3396.879,3517.9037,5225.996,2426.508,107.451,95.497,,
2010-10-21,3374.685,3498.0645,5240.802,2403.125,107.191,94.744,,
2010-10-22,3378.655,3508.5822,5261.154,2400.563,106.874,94.82,,
2010-10-25,3481.081,3607.2251,5385.566,2449.892,106.975,94.821,,
2010-10-26,3466.084,3599.7103,5367.85,2433.818,106.757,94.685,,
2010-10-27,3403.872,3538.5712,5303.338,2418.416,106.668,94.572,,
2010-10-28,3397.692,3532.096,5274.861,2417.031,106.638,94.564,,
2010-10-29,3379.983,3526.7801,5356.526,2381.805,106.613,94.494,,
2010-11-01,3472.995,3623.331,5484.767,2445.352,106.531,94.415,,
2010-11-02,3463.131,3608.8344,5403.766,2438.894,106.377,94.311,,
2010-11-03,3420.341,3566.8079,5341.519,2420.324,106.173,94.05,,
2010-11-04,3480.505,3635.9397,5452.839,2452.976,105.832,93.801,,
2010-11-05,3520.798,3682.6691,5500.715,2480.473,105.912,93.785,,
